accession,cluster,split
P40938,P35249,test
P40939,P40939,train
P40967,P40967,train
P41002,P41002,val
P41091,P41091,train
P41134,P47928,train
P41143,Q9NSD7,train
P41145,Q9NSD7,train
P41146,Q9NSD7,train
P41159,P41159,train
P41161,P41161,train
P41162,P50548,train
P41180,P41594,train
P41181,P55087,train
P41182,P41182,train
P41208,P14649,test
P41212,P41212,train
P41214,P41214,test
P41217,P41217,val
P41218,Q16666,train
P41219,P12036,train
P41220,O14924,test
P41221,Q9GZT5,train
P41222,P80188,train
P41223,P41223,train
P41225,P48436,train
P41226,P22314,train
P41227,P41227,val
P41229,P29375,test
P41231,P25116,train
P41235,O00482,train
P41236,P41236,val
P41238,Q96AK3,train
P41240,P35916,train
P41247,Q96AD5,train
P41250,P41250,train
P41252,P41252,test
P41271,P41271,val
P41273,P41273,train
P41279,Q99683,train
P41439,P14207,train
P41440,P41440,val
P41567,O60739,train
P41586,Q03431,test
P41587,Q03431,test
P41594,P41594,train
P41595,P41595,train
P41597,Q9NSD7,train
P41732,P41732,train
P41743,Q16513,train
P41968,P32245,train
P41970,P28324,train
P42025,A5A3E0,train
P42081,P42081,train
P42126,P42126,train
P42127,O00253,train
P42166,P42166,test
P42167,P42167,train
P42224,P52630,test
P42226,P42226,train
P42229,P42226,train
P42261,Q9ULK0,train
P42262,Q9ULK0,train
P42263,Q9ULK0,train
P42285,Q15477,train
P42330,P51857,test
P42331,Q8N264,val
P42336,O00443,train
P42338,O00443,train
P42345,P42345,train
P42356,P42356,val
P42357,P42357,train
P42566,P42566,train
P42568,P42568,train
P42574,Q92851,train
P42575,P42575,test
P42658,P42658,train
P42677,P42677,val
P42679,P35916,train
P42680,P42684,train
P42681,P42684,train
P42684,P42684,train
P42685,P42684,train
P42694,P42694,test
P42695,P42695,test
P42696,P42696,train
P42701,P42701,val
P42702,P42702,train
P42704,P42704,train
P42765,P55084,train
P42766,P42766,train
P42768,O00401,train
P42771,Q9ULJ7,val
P42772,Q9ULJ7,val
P42773,Q9ULJ7,val
P42785,P42785,train
P42830,P02775,test
P42857,Q9NYX4,train
P42858,P42858,train
P42892,P0DPD8,test
P42898,P42898,train
P43003,P43004,train
P43004,P43004,train
P43005,P43004,train
P43007,P43004,train
P43026,P43026,train
P43034,Q969H0,val
P43080,Q7L5N7,train
P43088,P43088,train
P43115,P35408,test
P43116,P35408,test
P43119,P35408,test
P43121,P50895,train
P43146,Q92859,test
P43155,P28329,val
P43166,P23471,train
P43220,Q03431,test
P43234,Q9UJW2,train
P43235,Q9UBX1,train
P43243,P43243,train
P43246,P43246,val
P43250,P25098,train
P43251,P43251,val
P43268,P41161,train
P43304,P43304,test
P43307,P43307,train
P43308,P43308,train
P43320,Q68DQ2,val
P43351,P43351,test
P43353,P51648,test
P43354,Q92570,train
P43355,Q9UJ55,val
P43356,Q9UJ55,val
P43357,Q9UJ55,val
P43358,Q9UJ55,val
P43359,Q9UJ55,val
P43360,Q9UJ55,val
P43361,Q9UJ55,val
P43362,Q9UJ55,val
P43363,Q8TD91,train
P43364,Q9UJ55,val
P43365,Q9UJ55,val
P43366,Q12816,train
P43378,Q12913,val
P43403,P08922,train
P43405,P08922,train
P43487,P49792,train
P43489,Q9Y6Q6,train
P43490,P43490,train
P43626,Q8N6C5,train
P43627,Q8N6C5,train
P43628,Q8N6C5,train
P43629,Q8N6C5,train
P43630,Q8N6C5,train
P43631,Q8N6C5,train
P43632,Q8N6C5,train
P43652,P02768,val
P43657,P25116,train
P43681,P43681,train
P43686,O43933,train
P43694,Q92908,train
P43699,P43699,train
P43897,P43897,train
P45378,P45379,train
P45379,P45379,train
P45381,Q96HD9,test
P45452,P51511,train
P45844,P45844,train
P45877,P30414,val
P45880,P45880,train
P45954,P49748,train
P45973,Q14781,train
P45974,Q92995,test
P45983,Q13164,train
P45984,Q9UPZ9,val
P45985,Q9NRP7,val
P46013,P46013,val
P46019,P46019,train
P46020,P46019,train
P46059,Q16348,test
P46060,P46060,val
P46063,Q14191,train
P46087,P46087,val
P46089,Q92633,test
P46091,Q9NSD7,train
P46092,P49685,train
P46093,P25116,train
P46094,Q9NSD7,train
P46095,Q92633,test
P46098,P43681,train
P46100,P46100,test
P46108,P46108,test
P46109,P46108,test
P46199,P46199,train
P46379,P46379,train
P46439,P21266,train
P46459,P46459,train
P46527,P49918,val
P46531,P46531,train
P46597,O95671,train
P46663,Q9Y5Y4,train
P46695,P46695,train
P46721,Q9H2Y9,train
P46734,Q9NRP7,val
P46736,P46736,val
P46776,P46776,train
P46777,P46777,train
P46778,P46778,train
P46779,P46779,train
P46781,P46781,train
P46782,P46782,test
P46783,Q15149,val
P46821,P46821,train
P46926,P46926,train
P46934,Q76N89,train
P46937,P46937,val
P46939,P11532,train
P46940,P46940,train
P46952,P46952,train
P46976,O15488,train
P46977,Q8TCJ2,train
P47211,Q9Y5X5,test
P47224,P47224,train
P47710,P47710,train
P47712,P47712,train
P47736,Q684P5,test
P47755,Q96KX2,train
P47756,P47756,train
P47775,Q92633,test
P47804,P47804,train
P47813,O14602,train
P47869,Q9UN88,val
P47870,Q9UN88,val
P47871,Q03431,test
P47872,Q03431,test
P47881,O43869,train
P47884,O43869,train
P47887,O43869,train
P47888,O43869,train
P47890,O43869,train
P47893,O43869,train
P47895,Q3SY69,train
P47897,P07814,train
P47898,P25100,train
P47900,P25116,train
P47901,P47901,train
P47902,P31260,test
P47914,P47914,val
P47928,P47928,train
P47929,Q3B8N2,train
P47944,P25713,val
P47972,O95502,train
P47974,P47974,train
P47985,P0C7P4,val
P47989,Q06278,train
P47992,P78423,train
P48023,P48023,train
P48029,Q9Y345,train
P48039,Q13585,train
P48047,P48047,train
P48048,P48549,train
P48050,P48549,train
P48051,P48549,train
P48052,Q8N4T0,train
P48058,Q9ULK0,train
P48059,Q9UGP4,test
P48060,Q9H336,train
P48061,P48061,train
P48065,Q9Y345,train
P48066,Q9Y345,train
P48067,Q9Y345,train
P48145,Q9NSD7,train
P48146,Q9NSD7,train
P48147,P48147,train
P48163,Q16798,train
P48165,Q969M2,train
P48167,Q9UN88,val
P48169,Q9UN88,val
P48200,P48200,val
P48201,P48201,train
P48304,P16112,train
P48307,P02760,train
P48357,P48357,test
P48378,P22670,train
P48380,P22670,train
P48382,Q2KHR2,train
P48426,A2A3N6,val
P48431,P48436,train
P48436,P48436,train
P48443,O00482,train
P48444,P48444,train
P48448,P51648,test
P48449,P48449,test
P48454,P16298,train
P48506,P48506,train
P48507,P48507,train
P48509,O95859,train
P48539,A6NKN8,val
P48544,P48549,train
P48546,Q03431,test
P48547,Q92953,test
P48549,P48549,train
P48551,P48551,test
P48552,P48552,train
P48553,P48553,train
P48556,P48556,train
P48594,P05546,test
P48595,P05546,test
P48634,Q9Y520,train
P48637,P48637,val
P48643,P17987,test
P48651,Q9BVG9,val
P48664,P43004,train
P48668,P04264,train
P48681,P48681,train
P48723,Q92598,train
P48728,P48728,train
P48729,Q5TCY1,train
P48730,Q5TCY1,train
P48735,P48735,train
P48736,O00443,train
P48739,Q9BZ72,train
P48740,P00736,train
P48741,Q92598,train
P48742,P48742,train
P48745,O00622,test
P48751,P04920,train
P48764,Q14940,train
P48775,P48775,train
P48788,P19429,val
P48960,O94910,val
P48995,Q9UBN4,test
P49005,P49005,val
P49006,P29966,train
P49019,P49019,train
P49023,P49023,train
P49069,P49069,train
P49116,P13056,train
P49137,Q9C098,train
P49146,Q9Y5X5,test
P49184,Q13609,val
P49189,Q3SY69,train
P49190,Q03431,test
P49207,P49207,val
P49221,P22735,train
P49238,Q9NSD7,train
P49247,P49247,train
P49257,Q9HAT1,train
P49279,P49281,test
P49281,P49281,test
P49286,Q13585,train
P49321,P49321,train
P49326,P31512,test
P49327,P49327,val
P49335,P20264,train
P49336,Q13164,train
P49354,P49354,train
P49356,P49356,train
P49366,P49366,train
P49368,P17987,test
P49406,P49406,train
P49407,P49407,train
P49411,P46199,train
P49418,P49418,train
P49419,P49419,train
P49427,Q9C0C9,train
P49441,P49441,train
P49447,Q53TN4,train
P49448,P00367,test
P49450,P49450,train
P49454,P49454,train
P49458,P49458,test
P49459,Q9C0C9,train
P49585,Q9Y5K3,test
P49588,Q5JTZ9,train
P49589,P49589,train
P49590,P12081,train
P49591,P49591,val
P49593,Q8WY54,train
P49619,O75912,train
P49638,Q8IUQ0,train
P49639,P31260,test
P49640,Q03828,test
P49641,P49641,train
P49642,P49642,test
P49643,P49643,train
P49662,P51878,val
P49674,Q5TCY1,train
P49675,Q14849,train
P49682,Q9Y5Y4,train
P49683,P29371,test
P49685,P49685,train
P49703,P36406,val
P49711,P49711,train
P49715,P49715,train
P49716,P49715,train
P49720,P49720,train
P49721,P49721,train
P49736,Q9NXL9,train
P49746,P35442,train
P49747,P35442,train
P49748,P49748,train
P49750,P49750,train
P49753,P49753,train
P49754,P49754,train
P49755,Q9BVK6,test
P49756,P49756,val
P49757,P49757,test
P49758,O75916,test
P49759,Q13523,train
P49760,Q13523,train
P49761,Q13523,train
P49763,P49763,train
P49765,P15692,train
P49767,P49767,train
P49768,P49768,test
P49770,P49770,train
P49771,P49771,train
P49773,Q9BX68,train
P49788,P49788,train
P49789,P49789,train
P49790,P49790,train
P49792,P49792,train
P49795,O76081,train
P49796,P49796,val
P49798,O14924,test
P49802,O75916,test
P49810,P49768,test
P49815,P49815,train
P49821,P49821,train
P49840,O76039,train
P49841,O76039,train
P49842,P49842,train
P49848,P49848,train
P49862,Q7Z410,train
P49863,Q7RTY8,val
P49888,O00204,train
P49895,P55073,train
P49901,P49901,train
P49902,P49902,val
P49903,Q99611,train
P49908,P49908,val
P49910,O43345,val
P49913,P49913,test
P49914,P49914,train
P49915,P49915,train
P49916,P49916,train
P49917,P49917,train
P49918,P49918,val
P49959,P49959,val
P49961,O75355,val
P50052,P30411,train
P50053,P50053,train
P50120,A6NFH5,val
P50135,P50135,train
P50148,Q5JWF2,train
P50150,P50150,train
P50151,P50150,train
P50213,P51553,train
P50219,Q15270,train
P50221,Q9NY43,train
P50222,Q9NY43,train
P50225,O00204,train
P50226,O00204,train
P50238,Q6Q6R5,train
P50281,P51511,train
P50336,P50336,val
P50391,Q9Y5X5,test
P50395,P31150,train
P50402,P50402,train
P50406,P25100,train
P50416,Q8TCG5,train
P50440,P50440,train
P50443,O43511,test
P50452,P05546,test
P50453,P05546,test
P50454,P50454,val
P50458,P48742,train
P50461,Q6Q6R5,train
P50479,O75112,val
P50502,P50502,train
P50539,P50539,train
P50542,P50542,val
P50548,P50548,train
P50549,P41161,train
P50552,Q8N8S7,train
P50553,P61296,val
P50570,P50570,train
P50579,P50579,train
P50583,P50583,train
P50591,P50591,train
P50607,O00294,train
P50613,Q15772,train
P50616,P50616,train
P50747,P50747,train
P50748,P50748,train
P50749,Q6ZTQ3,train
P50750,Q14004,test
P50851,Q8NFP9,train
P50876,Q9Y4X5,val
P50895,P50895,train
P50897,P50897,train
P50914,P50914,train
P50990,A6NM43,train
P50991,P17987,test
P50993,P16615,test
P50995,P08133,test
P51003,P51003,train
P51114,P51116,val
P51116,P51116,val
P51124,Q7Z410,train
P51148,Q7Z6P3,train
P51149,Q8IZ41,train
P51151,Q8IZ41,train
P51153,Q8IZ41,train
P51157,Q7Z6P3,train
P51159,Q9BSW2,train
P51160,Q9Y233,train
P51161,P51161,train
P51164,Q9UN42,test
P51168,P51168,train
P51170,P51172,test
P51172,P51172,test
P51178,Q4KWH8,train
P51397,A0PJW8,val
P51398,P51398,train
P51449,P20393,train
P51451,Q04912,train
P51452,Q76I76,train
P51504,P51504,val
P51508,O43345,val
P51511,P51511,train
P51512,P51511,train
P51513,P51513,train
P51522,O43345,val
P51523,O43345,val
P51530,P51530,train
P51531,Q12873,val
P51532,Q12873,val
P51553,P51553,train
P51570,P51570,val
P51571,P51571,test
P51572,P51572,train
P51575,Q99572,train
P51580,P51580,train
P51582,P25116,train
P51587,P51587,train
P51589,P08686,test
P51606,P51606,train
P51608,P51608,train
P51610,P51610,test
P51617,P51617,train
P51636,P51636,val
P51648,P51648,test
P51649,Q3SY69,train
P51654,P51654,train
P51659,P51659,test
P51665,P51665,train
P51668,Q9Y385,train
P51671,P78423,train
P51674,P51674,train
P51677,Q9NSD7,train
P51679,Q9NSD7,train
P51681,Q9NSD7,train
P51684,P49685,train
P51685,Q9NSD7,train
P51686,Q9NSD7,train
P51687,P51687,train
P51688,P51688,train
P51689,P51689,train
P51690,P51689,train
P51692,P42226,train
P51693,P05067,train
P51784,O94966,train
P51786,O43345,val
P51787,Q9NR82,train
P51788,P35523,train
P51790,P35523,train
P51793,P35523,train
P51795,P35523,train
P51797,P51797,test
P51798,P51797,test
P51800,P35523,train
P51801,P35523,train
P51805,O43157,train
P51808,P51808,val
P51809,P51809,train
P51810,P51810,train
P51811,Q5GH77,train
P51812,Q9UK32,train
P51813,P42684,train
P51814,O43345,val
P51815,P57071,train
P51816,P51816,train
P51817,Q16513,train
P51825,P51816,train
P51826,P51816,train
P51828,O60503,train
P51841,P51841,train
P51843,P51843,test
P51854,Q9H0I9,train
P51857,P51857,test
P51858,Q7Z4V5,train
P51861,P51861,train
P51864,P13385,train
P51878,P51878,val
P51884,Q9NZU1,train
P51888,Q9NZU1,train
P51911,Q15417,train
P51946,P51946,test
P51948,P51948,train
P51955,Q96PY6,train
P51956,Q96PY6,train
P51957,P51957,train
P51959,Q14094,val
P51965,Q9Y385,train
P51970,P51970,train
P51991,O14979,train
P51993,P22083,test
P52179,P52179,val
P52198,Q9BYZ6,test
P52209,P52209,train
P52272,P52272,train
P52292,O15131,train
P52294,O15131,train
P52298,P62995,train
P52306,P52306,train
P52333,P29597,val
P52429,O75912,train
P52434,P52434,train
P52435,P0DPB6,train
P52564,Q9NRP7,val
P52565,Q99819,train
P52566,Q99819,train
P52569,Q8TBB6,test
P52594,P52594,val
P52597,Q9H6T0,train
P52630,P52630,test
P52655,Q9UNN4,train
P52657,P52657,test
P52701,P52701,test
P52732,P52732,test
P52735,P52735,train
P52736,O43345,val
P52737,O95625,test
P52738,O95625,test
P52739,P52739,train
P52740,O43345,val
P52741,O43345,val
P52742,O43345,val
P52743,P57071,train
P52744,O43345,val
P52746,P52746,train
P52747,P52747,train
P52756,P98175,test
P52757,Q9H0H5,train
P52758,P52758,val
P52788,P52788,train
P52789,P52790,train
P52790,P52790,train
P52797,P52797,train
P52798,P52797,train
P52799,P98172,train
P52803,P52797,train
P52815,P52815,train
P52823,O76061,test
P52824,P52824,train
P52848,P52849,val
P52849,P52849,val
P52888,Q9BYT8,train
P52895,P51857,test
P52907,Q96KX2,train
P52926,P52926,train
P52943,Q6Q6R5,train
P52945,Q9NY43,train
P52948,P52948,train
P52951,Q15270,train
P52952,P43699,train
P52954,Q14774,val
P52961,Q13508,train
P53004,P53004,train
P53007,P53007,train
P53041,O14830,test
P53350,Q9NYY3,train
P53355,P53355,train
P53365,P53367,train
P53367,P53367,train
P53370,P53370,train
P53384,P53384,train
P53396,P53396,train
P53420,P08572,test
P53539,P01100,train
P53567,P49715,train
P53582,P53582,train
P53597,P53597,train
P53602,P53602,val
P53609,P53611,train
P53611,P53611,train
P53618,P53618,train
P53621,P53621,test
P53634,P53634,train
P53667,P53667,test
P53671,P53667,test
P53672,Q68DQ2,val
P53673,Q68DQ2,val
P53674,Q68DQ2,val
P53675,Q00610,train
P53677,P53677,test
P53680,P59780,train
P53701,P53701,test
P53708,P53708,train
P53778,Q9UPZ9,val
P53779,Q9UPZ9,val
P53794,P53794,test
P53801,P53801,train
P53803,P53803,train
P53804,P53804,test
P53805,P53805,val
P53814,P53814,train
P53816,Q96KN8,val
P53985,Q6ZSM3,train
P53990,P53990,train
P53992,O95487,train
P53999,P53999,val
P54098,P54098,train
P54105,P54105,train
P54107,Q9H336,train
P54108,Q9H336,train
P54132,P54132,train
P54136,Q5T160,test
P54198,P54198,train
P54219,Q16572,val
P54252,P54252,test
P54253,P54253,train
P54257,P54257,val
P54259,Q9P2R6,val
P54274,P54274,val
P54277,P54277,train
P54278,P54278,train
P54284,Q08289,train
P54289,Q9NY47,train
P54296,P52179,val
P54315,Q9Y5X9,val
P54317,Q9Y5X9,val
P54368,Q9UMX2,train
P54577,P54577,train
P54578,P54578,train
P54619,Q9UGJ0,test
P54646,Q9Y2K2,train
P54652,Q92598,train
P54687,O15382,train
P54707,P16615,test
P54709,Q9UN42,test
P54710,Q9H0Q3,train
P54725,P54727,train
P54727,P54727,train
P54750,P27815,train
P54753,P29323,train
P54756,P29323,train
P54760,P29323,train
P54762,P29323,train
P54764,P29323,train
P54792,O14641,val
P54793,P51689,train
P54802,P54802,test
P54803,P54803,train
P54819,Q9Y6K8,train
P54821,Q96QS3,val
P54826,P54826,test
P54829,Q15256,train
P54840,P13807,train
P54845,O75444,train
P54851,P54851,val
P54852,P54851,val
P54855,Q16880,train
P54868,Q01581,train
P54886,P54886,train
P54920,Q9H115,train
P54922,P54922,val
P55000,Q6UXB3,train
P55001,P55001,train
P55008,Q9BQI0,train
P55010,P55010,train
P55011,P55011,train
P55017,P55011,train
P55036,A2A3N6,val
P55039,Q9Y295,test
P55040,Q8IYK8,train
P55042,Q8IYK8,train
P55055,P06401,val
P55056,P55056,train
P55058,P55058,train
P55060,P55060,train
P55064,P55087,train
P55072,O43933,train
P55073,P55073,train
P55075,P55075,train
P55081,P55081,test
P55082,O75121,train
P55083,P22105,val
P55084,P55084,train
P55085,P25116,train
P55087,P55087,train
P55089,P06850,test
P55103,P08476,train
P55107,P55107,train
P55145,Q49AH0,train
P55157,P55157,train
P55160,Q9Y2A7,train
P55196,P55196,train
P55197,P55198,train
P55198,P55198,train
P55199,O00472,test
P55201,P55201,train
P55209,Q99457,train
P55210,Q92851,train
P55211,Q92851,train
P55212,Q92851,train
P55259,P07911,train
P55263,P55263,train
P55265,P55265,train
P55268,P55268,train
P55273,Q9ULJ7,val
P55283,Q14517,train
P55285,Q6V0I7,test
P55286,Q6V0I7,test
P55287,Q6V0I7,test
P55289,Q6V0I7,test
P55290,Q14517,train
P55291,Q14517,train
P55316,Q9UPW0,train
P55317,Q12948,train
P55318,Q12948,train
P55327,P55327,train
P55344,P55344,train
P55345,Q86X55,train
P55347,O14770,test
P55735,Q96EE3,train
P55769,Q9NX24,train
P55771,P15863,train
P55773,P55773,train
P55786,Q9UKU6,test
P55789,P55789,train
P55795,Q9H6T0,train
P55808,P55808,val
P55809,P55809,train
P55822,P55822,val
P55851,O95258,val
P55854,Q8NCF5,train
P55884,P55884,train
P55895,P55895,train
P55899,P10321,train
P55916,O95258,val
P55957,P55957,val
P56134,P56134,train
P56159,P56159,train
P56177,Q15270,train
P56178,Q15270,train
P56179,Q15270,train
P56180,P56180,train
P56181,P56181,train
P56182,Q14684,val
P56192,P56192,train
P56199,Q9UKX5,train
P56202,Q9UBX1,train
P56211,O43768,train
P56270,Q9HBE1,train
P56277,P56277,train
P56278,O95988,train
P56279,P56279,train
P56282,P56282,train
P56373,Q99572,train
P56377,P59780,train
P56378,P56378,train
P56381,P56381,train
P56385,P56385,train
P56470,Q3B8N2,train
P56524,Q9UQL6,train
P56537,P56537,test
P56545,O43175,train
P56555,P56555,train
P56556,P56556,val
P56557,P56557,train
P56559,P36406,val
P56589,P56589,train
P56597,Q8N427,val
P56645,O15534,val
P56693,P48436,train
P56696,Q9NR82,train
P56703,Q9GZT5,train
P56704,Q9GZT5,train
P56705,Q9GZT5,train
P56706,Q9GZT5,train
P56715,P56715,train
P56730,Q9UGM3,test
P56746,P56746,val
P56747,P56856,train
P56748,P56856,train
P56749,P56749,train
P56750,P56856,train
P56817,Q9Y5Z0,test
P56851,P56851,train
P56856,P56856,train
P56880,P56856,train
P56915,P56915,train
P56937,P56937,train
P56945,P56945,train
P56962,P56962,train
P56975,P56975,train
P57052,P57052,train
P57053,Q6DN03,train
P57054,P57054,val
P57057,P57057,test
P57058,P57058,train
P57059,P57059,train
P57060,P57060,train
P57071,P57071,train
P57073,P48436,train
P57075,P57075,train
P57076,P57076,test
P57077,O43318,test
P57078,P57078,train
P57081,P57081,val
P57082,P57082,train
P57086,Q8TBC5,train
P57087,Q5DX21,train
P57088,P57088,train
P57103,P32418,train
P57105,Q14160,train
P57678,P57678,val
P57679,P57679,val
P57682,Q9UIH9,test
P57721,P57723,train
P57723,P57723,train
P57727,P98073,train
P57729,Q7Z6P3,train
P57730,P57730,train
P57735,Q8IZ41,train
P57737,P57737,train
P57739,P56856,train
P57740,P57740,val
P57764,Q9BYG8,val
P57768,P57768,test
P57771,P49796,val
P57772,P57772,train
P57773,Q969M2,train
P57775,P57775,train
P57789,P57789,test
P57796,Q9NZU7,train
P58004,P58005,train
P58005,P58005,train
P58012,P85037,train
P58062,O00468,train
P58107,P58107,val
P58166,P08476,train
P58173,O43869,train
P58180,O43869,train
P58181,O43869,train
P58182,O43869,train
P58215,Q9UGM3,test
P58294,Q9HC23,train
P58304,Q9NY43,train
P58317,O95625,test
P58335,A6NF34,train
P58340,P58340,train
P58397,Q9UKP4,train
P58400,Q9P2S2,train
P58401,Q9P2S2,train
P58417,P58417,test
P58418,A0PK11,train
P58499,P58499,train
P58505,P58505,train
P58513,P58513,train
P58546,Q9ULJ7,val
P58549,Q96DB9,val
P58557,P58557,train
P58658,P58658,train
P58743,O43511,test
P58753,P58753,train
P58872,Q9NX52,test
P58876,Q6DN03,train
P59025,P59025,train
P59037,P59037,train
P59044,Q9C000,train
P59045,P59045,val
P59046,Q9C000,train
P59047,Q9C000,train
P59074,Q96CF2,train
P59091,P59091,train
P59095,P59095,test
P59103,P59103,train
P59190,Q7Z6P3,train
P59282,O94811,val
P59510,Q9P2N4,val
P59533,P59533,train
P59534,P59534,train
P59535,P59534,train
P59536,P59541,train
P59537,P59541,train
P59538,P59541,train
P59539,P59541,train
P59540,P59541,train
P59541,P59541,train
P59542,P59541,train
P59543,P59541,train
P59544,P59541,train
P59551,P59534,train
P59646,Q9H0Q3,train
P59665,Q01524,train
P59666,Q01524,train
P59768,P50150,train
P59773,P59773,train
P59780,P59780,train
P59796,P22352,val
P59797,P59797,train
P59817,Q7Z3K3,train
P59826,P59827,train
P59827,P59827,train
P59901,Q8N6C5,train
P59910,Q96EY1,train
P59922,O43869,train
P59923,O43345,val
P59942,P59942,train
P59991,P59991,val
P59998,P59998,train
P60002,P60002,test
P60006,P60006,test
P60008,P60008,train
P60014,P60372,train
P60022,P60022,train
P60033,O60635,train
P60059,P60059,train
P60153,P60153,train
P60174,P60174,train
P60201,P51674,train
P60228,P60228,train
P60321,P60323,train
P60323,P60323,train
P60331,P60372,train
P60369,P60372,train
P60370,P60372,train
P60371,P60372,train
P60372,P60372,train
P60409,P60372,train
P60410,P60372,train
P60411,P60372,train
P60412,P60372,train
P60413,P60372,train
P60468,P60468,train
P60484,P56180,train
P60507,P60507,train
P60508,Q9N2K0,val
P60509,P60509,train
P60510,P16298,train
P60520,Q9BXW4,train
P60568,P60568,test
P60602,P60602,test
P60604,Q9C0C9,train
P60606,P60606,train
P60608,P60507,train
P60660,P14649,test
P60673,P07737,train
P60709,A5A3E0,train
P60763,Q9BYZ6,test
P60827,Q9BXI9,train
P60842,Q7L014,train
P60852,P60852,train
P60866,P60866,train
P60880,O00161,train
P60891,O60256,test
P60893,Q9NS67,val
P60896,P60896,train
P60900,P25786,train
P60903,P60903,train
P60953,Q9BYZ6,test
P60981,P23528,train
P60983,O60234,train
P60985,P60985,train
P61006,Q8IZ41,train
P61009,P61009,train
P61011,P61011,train
P61018,Q8IZ41,train
P61019,Q8IZ41,train
P61020,Q7Z6P3,train
P61024,P33552,train
P61026,Q8IZ41,train
P61073,Q9NSD7,train
P61077,Q9Y385,train
P61081,Q969M7,train
P61086,Q9C0C9,train
P61088,Q16763,train
P61106,Q8IZ41,train
P61129,Q9UPT8,test
P61158,A5A3E0,train
P61160,A5A3E0,train
P61163,A5A3E0,train
P61165,P61165,val
P61201,P61201,train
P61204,P36406,val
P61218,P61218,train
P61221,P61221,train
P61224,Q8IZ41,train
P61225,Q9NYN1,train
P61236,Q96NS1,val
P61244,P61244,train
P61247,P61247,val
P61254,P61254,train
P61266,Q13277,train
P61278,P61278,test
P61289,P61289,train
P61296,P61296,val
P61313,P61313,test
P61326,Q96A72,train
P61328,P09038,test
P61353,P61353,val
P61366,P61366,test
P61371,P48742,train
P61421,P61421,train
P61457,Q9H0N5,train
P61513,A6NKH3,train
P61550,P61550,train
P61565,P63135,train
P61566,P63135,train
P61567,P63135,train
P61570,P63135,train
P61571,P61572,val
P61572,P61572,val
P61573,P61572,val
P61574,P61572,val
P61575,P61572,val
P61576,P61572,val
P61579,P61572,val
P61580,P61580,val
P61581,P61580,val
P61583,P61580,val
P61586,Q9BYZ6,test
P61587,Q9BYZ6,test
P61599,P61599,train
P61601,Q9NRD9,test
P61604,P61604,test
P61619,P61619,test
P61626,Q8IXA5,train
P61647,Q9NSC7,train
P61758,P61758,train
P61764,P61764,train
P61769,P13765,train
P61803,P61803,train
P61812,P61812,train
P61916,P61916,val
P61923,Q9P299,train
P61925,P61925,test
P61927,P61927,train
P61952,P63211,train
P61956,Q8NCF5,train
P61960,P61960,train
P61962,P61962,test
P61964,Q8TC44,val
P61966,P59780,train
P61968,P48742,train
P61970,P61970,train
P61978,P61978,train
P61981,P62258,train
P62068,P40818,test
P62070,Q8IYK8,train
P62072,P62072,train
P62079,Q9H1Z9,test
P62081,P62081,train
P62136,P16298,train
P62140,P16298,train
P62166,Q9NS61,val
P62191,Q9ULI0,val
P62195,O43933,train
P62241,P62241,train
P62244,P62244,val
P62249,P62249,train
P62253,Q9C0C9,train
P62256,Q16763,train
P62258,P62258,train
P62263,P62263,train
P62266,P62266,train
P62269,P62269,train
P62273,P62273,train
P62277,P62277,train
P62280,P62280,test
P62304,P62304,train
P62306,Q9Y4Z0,train
P62308,Q9UK45,train
P62310,P62310,train
P62312,P62312,test
P62314,P62318,train
P62316,P62310,train
P62318,P62318,train
P62324,P50616,train
P62328,P0CG34,train
P62330,P36406,val
P62333,O43933,train
P62341,P62341,train
P62380,Q6SJ96,train
P62424,P62424,train
P62487,P62487,train
P62491,Q8IZ41,train
P62495,P62495,train
P62502,P62502,val
P62508,P06401,val
P62633,P62633,train
P62683,P63128,train
P62684,P63128,train
P62685,P63128,train
P62699,Q96NS1,val
P62701,P22090,train
P62714,P16298,train
P62736,A5A3E0,train
P62745,Q9BYZ6,test
P62750,P62750,test
P62753,P62753,train
P62760,Q9NS61,val
P62805,P62805,train
P62807,Q6DN03,train
P62820,Q8IZ41,train
P62826,Q8IZ41,train
P62829,P62829,val
P62834,Q8IZ41,train
P62837,Q9Y385,train
P62841,P62841,train
P62847,P62847,train
P62851,P62851,val
P62854,P62854,train
P62857,P62857,train
P62861,P62861,train
P62873,Q15542,train
P62875,P62875,train
P62877,Q9UBF6,val
P62879,Q15542,train
P62888,P62888,val
P62899,P62899,train
P62906,P62906,train
P62910,P62910,train
P62913,P62913,train
P62917,P62917,val
P62937,Q13356,train
P62942,Q96AY3,train
P62955,Q8WXS5,train
P62979,P0CG48,train
P62987,P0CG48,train
P62993,O75791,train
P62995,P62995,train
P63000,Q9BYZ6,test
P63010,Q10567,val
P63027,O75379,train
P63092,Q5JWF2,train
P63096,Q5JWF2,train
P63098,Q9NRD9,test
P63104,P62258,train
P63119,P63128,train
P63120,P63128,train
P63121,P63128,train
P63122,P63128,train
P63123,P63128,train
P63124,P63128,train
P63125,P63128,train
P63126,P63128,train
P63127,P63128,train
P63128,P63128,train
P63129,P63128,train
P63130,P63128,train
P63131,P63128,train
P63132,P63135,train
P63133,P63135,train
P63135,P63135,train
P63136,P63135,train
P63145,P63128,train
P63146,Q9C0C9,train
P63151,Q66LE6,val
P63162,P14678,train
P63165,Q8NCF5,train
